SMILES,sars,mers,cluster
COC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C |&1:3|,,4.19,0
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(N)=O,5.29,4.92,1
CNC(=O)CN1C[C@]2(C[C@H](C)N(C3=CN=CC=C3C3CC3)C2=O)C2=C(C=CC(Cl)=C2)C1=O,,4.73,4
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(=O)OC,6.11,4.9,1
C=C(CN1CCC2=C(C=C(Cl)C=C2)C1C(=O)NC1=CN=CC2=CC=CC=C12)C(=O)O,5.62,4.81,1
C=C(CN(C(=O)C1CCOC2=C1C=C(Cl)C=C2)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=CC=C1,6.45,4.88,1
C=C(CN(C(=O)C1CCOC2=C1C=C(Cl)C=C2)C1=CN=CC2=CC=CC=C12)C(N)=O,5.56,4.81,1
CCN1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,,4.54,0
CCOC[C@]1(C)C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)N1C |&1:4|,,8.16,0
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(CC1=CC=CC=C1)C2,5.4,4.84,0
CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(S(C)(=O)=O)C2,,4.69,0
CC(=O)N1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,,4.8,0
O=C1N[C@]2(C[C@@H](C3=C(Cl)C=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,7.84,6.5,0
CN1CCN(C2=CC=CC=C2NC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)CC1 |&1:24|,5.78,4.99,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC(Br)=C1 |&1:12|,7.35,4.84,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C(N2CCOCC2=O)C=C1 |&1:12|,7.17,5.05,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=CC=C1 |&1:12|,7.22,5.37,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C(Br)C=C1 |&1:12|,6.86,5.45,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC(Cl)=CC(Cl)=C1 |&1:12|,7.16,5.31,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C2OCOC2=C1 |&1:12|,6.95,5.4,1
O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=CC=C(F)C=C1 |&1:12|,7.11,5.38,1
